finding,feature_set,macro_f1,balanced_accuracy
atelectasis,current,0.18425531914893617,0.2747281426707264
atelectasis,prior_current,0.2477600238864037,0.34725967812092207
atelectasis,delta,0.23713485519145192,0.37392344497607655
atelectasis,abs_delta,0.19614386813876394,0.2219225750326229
atelectasis,current_delta,0.27501929581621304,0.42488038277511964
atelectasis,prior_current_delta,0.27951928246045893,0.43444976076555025
atelectasis,full,0.26775269207119995,0.4088951718138321
cardiomegaly,current,0.21102661596958175,0.24342105263157895
cardiomegaly,prior_current,0.24466004813477737,0.4385964912280702
cardiomegaly,delta,0.17050083872513777,0.4692982456140351
cardiomegaly,abs_delta,0.21826241134751773,0.5153508771929824
cardiomegaly,current_delta,0.24766791044776118,0.42105263157894735
cardiomegaly,prior_current_delta,0.2918585064570466,0.6008771929824562
cardiomegaly,full,0.305881394591072,0.6118421052631579
consolidation,current,0.25582298136645965,0.3147556390977444
consolidation,prior_current,0.2853703703703704,0.3583020050125313
consolidation,delta,0.21778711484593838,0.27944862155388467
consolidation,abs_delta,0.23208273208273208,0.2819862155388471
consolidation,current_delta,0.3041501976284585,0.38665413533834586
consolidation,prior_current_delta,0.3211804052724769,0.4093671679197995
consolidation,full,0.3314119132501485,0.4131265664160401
edema,current,0.21150779045515888,0.24718468468468469
edema,prior_current,0.22840447154471544,0.330518018018018
edema,delta,0.2644545752347674,0.32038288288288286
edema,abs_delta,0.25079936051159074,0.2927927927927928
edema,current_delta,0.2190523619806488,0.25394144144144143
edema,prior_current_delta,0.2210443938531588,0.25563063063063063
edema,full,0.225078125,0.26069819819819817
pleural_effusion,current,0.2984619750562588,0.3668785310734463
pleural_effusion,prior_current,0.3770064529138939,0.4758709981167608
pleural_effusion,delta,0.19067532287087363,0.3236228813559322
pleural_effusion,abs_delta,0.23113123674237307,0.2521186440677966
pleural_effusion,current_delta,0.3460790717929576,0.4417372881355932
pleural_effusion,prior_current_delta,0.3692061171118763,0.4641007532956685
pleural_effusion,full,0.34056249160961205,0.4251412429378531
pneumonia,current,0.24181082075818916,0.4170022371364653
pneumonia,prior_current,0.24838520258367586,0.3794183445190156
pneumonia,delta,0.23564814814814816,0.4261744966442953
pneumonia,abs_delta,0.2658390410958904,0.3731543624161074
pneumonia,current_delta,0.2425074925074925,0.3351230425055928
pneumonia,prior_current_delta,0.2458311844593433,0.34183445190156597
pneumonia,full,0.23183391003460208,0.2997762863534676
pneumothorax,current,0.24497071555895084,0.29533941236068895
pneumothorax,prior_current,0.2645161290322581,0.3130699088145896
pneumothorax,delta,0.1695212765957447,0.26253799392097266
pneumothorax,abs_delta,0.1681614349775785,0.13297872340425532
pneumothorax,current_delta,0.2703182452136427,0.3434650455927052
pneumothorax,prior_current_delta,0.2573127392017496,0.3042046605876393
pneumothorax,full,0.25644028103044497,0.2826747720364742
