finding,current_macro_f1_mean,current_macro_f1_std,best_temporal_feature,best_temporal_macro_f1_mean,best_temporal_macro_f1_std,delta_macro_f1,temporal_wins_vs_current,num_seeds,current_balanced_accuracy_mean,best_temporal_balanced_accuracy_mean
atelectasis,0.2176234264205085,0.044406416410740834,prior_current_delta,0.2600605112456903,0.03068848699111668,0.0424370848251818,5,5,0.28021159266889406,0.36085401954056534
cardiomegaly,0.25048010746626603,0.04656537168814692,full,0.3009065950509308,0.023364526342355335,0.05042648758466478,5,5,0.4460748850889239,0.5731182814216123
consolidation,0.2815189345795596,0.051165240672323566,full,0.3000410371205834,0.02716868644912685,0.018522102541023766,3,5,0.3652901759917218,0.35543614526466943
edema,0.24258885639203723,0.035758671037252436,prior_current,0.26287864674772277,0.039405898956458095,0.02028979035568554,4,5,0.358939279581942,0.4060355972795926
pleural_effusion,0.32054595323243357,0.04315012536656898,prior_current_delta,0.33824002338947745,0.02701609529874711,0.017694070157043884,2,5,0.3764068990315884,0.39149802098210407
pneumonia,0.24717798220033652,0.02387351279140965,prior_current_delta,0.26832946154046505,0.02300847197924225,0.021151479340128537,4,5,0.5483555956569244,0.46004391689206275
pneumothorax,0.2610316617432312,0.03142580481157336,full,0.321799117245973,0.05448830682206766,0.06076745550274176,5,5,0.34571128261825623,0.42829125092629566
