finding,feature_set,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,num_seeds,current_macro_f1_mean,current_balanced_accuracy_mean,delta_macro_f1_vs_current,delta_balanced_accuracy_vs_current,wins_vs_current,num_seed_comparisons
pneumonia,abs_delta,0.26019940423007837,0.03345923680977448,0.43212968962638476,0.17471838524078379,5,0.24717798220033652,0.5483555956569244,0.013021422029741853,-0.11622590603053962,3,5
pneumonia,current,0.24717798220033652,0.02387351279140965,0.5483555956569244,0.13725403239976142,5,0.24717798220033652,0.5483555956569244,0.0,0.0,0,5
pneumonia,current_delta,0.26284146818941256,0.014655894025339856,0.4744620431401188,0.1350449569221838,5,0.24717798220033652,0.5483555956569244,0.015663485989076048,-0.07389355251680557,4,5
pneumonia,delta,0.22661024389515871,0.009096664773343857,0.41907470584904505,0.08149381139435186,5,0.24717798220033652,0.5483555956569244,-0.020567738305177802,-0.12928088980787933,1,5
pneumonia,full,0.25157552402866984,0.01839576980858389,0.39747074920633346,0.1228893056279316,5,0.24717798220033652,0.5483555956569244,0.004397541828333323,-0.15088484645059091,2,5
pneumonia,prior_current,0.24619138583258365,0.01645212459835398,0.4540888676665191,0.19637638925473141,5,0.24717798220033652,0.5483555956569244,-0.0009865963677528622,-0.09426672799040525,3,5
pneumonia,prior_current_delta,0.26832946154046505,0.02300847197924225,0.46004391689206275,0.1395758712129781,5,0.24717798220033652,0.5483555956569244,0.021151479340128537,-0.08831167876486162,4,5
pneumothorax,abs_delta,0.19703515843019867,0.022647885544337592,0.2202170824768496,0.057079664752479976,5,0.2610316617432312,0.34571128261825623,-0.06399650331303255,-0.12549420014140664,0,5
pneumothorax,current,0.2610316617432312,0.03142580481157336,0.34571128261825623,0.07853942915560527,5,0.2610316617432312,0.34571128261825623,0.0,0.0,0,5
pneumothorax,current_delta,0.2968602211704039,0.048789832259610526,0.4183920213373374,0.08149468995516052,5,0.2610316617432312,0.34571128261825623,0.03582855942717267,0.07268073871908115,5,5
pneumothorax,delta,0.1941985665905363,0.02144377224723145,0.29781667524395694,0.0558108399371786,5,0.2610316617432312,0.34571128261825623,-0.06683309515269492,-0.04789460737429929,0,5
pneumothorax,full,0.321799117245973,0.05448830682206766,0.42829125092629566,0.09750905934586838,5,0.2610316617432312,0.34571128261825623,0.06076745550274176,0.08257996830803943,5,5
pneumothorax,prior_current,0.3091875338117759,0.04765692845847234,0.4168484245776118,0.0771186038796516,5,0.2610316617432312,0.34571128261825623,0.04815587206854466,0.07113714195935555,5,5
pneumothorax,prior_current_delta,0.3099418775463102,0.0438220190256979,0.4206533128546587,0.07785917894303393,5,0.2610316617432312,0.34571128261825623,0.04891021580307897,0.07494203023640245,5,5
