finding,feature_set,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,num_seeds,current_macro_f1_mean,current_balanced_accuracy_mean,delta_macro_f1_vs_current,delta_balanced_accuracy_vs_current,wins_vs_current,num_seed_comparisons
atelectasis,abs_delta,0.18963672742368914,0.0406791448802151,0.2251152575729451,0.05689117603963979,5,0.2176234264205085,0.28021159266889406,-0.027986698996819354,-0.05509633509594897,3,5
atelectasis,current,0.2176234264205085,0.044406416410740834,0.28021159266889406,0.0635696592658796,5,0.2176234264205085,0.28021159266889406,0.0,0.0,0,5
atelectasis,current_delta,0.24948637875794075,0.031105175660875825,0.34425262417768077,0.06686299947986839,5,0.2176234264205085,0.28021159266889406,0.03186295233743225,0.0640410315087867,4,5
atelectasis,delta,0.1815261125685345,0.04632827857221375,0.2635920911616309,0.11139774536916772,5,0.2176234264205085,0.28021159266889406,-0.03609731385197401,-0.016619501507263157,1,5
atelectasis,full,0.2564361202841229,0.024273455480948933,0.34625504114032035,0.07245923429331425,5,0.2176234264205085,0.28021159266889406,0.038812693863614384,0.06604344847142629,5,5
atelectasis,prior_current,0.23801691872303193,0.031623075432142954,0.3127218148333042,0.06882157858649021,5,0.2176234264205085,0.28021159266889406,0.020393492302523436,0.03251022216441013,4,5
atelectasis,prior_current_delta,0.2600605112456903,0.03068848699111668,0.36085401954056534,0.07232465596282871,5,0.2176234264205085,0.28021159266889406,0.0424370848251818,0.08064242687167128,5,5
cardiomegaly,abs_delta,0.2147541212065775,0.031186453929381568,0.33631389451659494,0.12615651314872614,5,0.25048010746626603,0.4460748850889239,-0.035725986259688536,-0.10976099057232896,2,5
cardiomegaly,current,0.25048010746626603,0.04656537168814692,0.4460748850889239,0.27169839938828777,5,0.25048010746626603,0.4460748850889239,0.0,0.0,0,5
cardiomegaly,current_delta,0.2791743821145017,0.036452221381922105,0.5571035991997458,0.21526234749580017,5,0.25048010746626603,0.4460748850889239,0.02869427464823565,0.11102871411082194,5,5
cardiomegaly,delta,0.1773752849410279,0.011731088010649569,0.4462765780502778,0.11956377516278728,5,0.25048010746626603,0.4460748850889239,-0.07310482252523814,0.00020169296135391646,0,5
cardiomegaly,full,0.3009065950509308,0.023364526342355335,0.5731182814216123,0.13157838681425313,5,0.25048010746626603,0.4460748850889239,0.05042648758466478,0.12704339633268835,5,5
cardiomegaly,prior_current,0.2824530770973354,0.04363473029221287,0.5109559751485604,0.16828770840980062,5,0.25048010746626603,0.4460748850889239,0.03197296963106938,0.06488109005963649,4,5
cardiomegaly,prior_current_delta,0.28662456334058417,0.04448603918082801,0.5624981118480379,0.23414888734779235,5,0.25048010746626603,0.4460748850889239,0.03614445587431814,0.11642322675911398,4,5
consolidation,abs_delta,0.24456926552426075,0.01110410824868242,0.2933985525020834,0.03424046889543413,5,0.2815189345795596,0.3652901759917218,-0.03694966905529887,-0.0718916234896384,1,5
