finding,feature_set,macro_f1,balanced_accuracy,seed
pneumothorax,current,0.2796545559703454,0.3437142857142857,42
pneumothorax,prior_current,0.335474858644195,0.441047619047619,42
pneumothorax,delta,0.2009209344115004,0.353047619047619,42
pneumothorax,abs_delta,0.1826599326599326,0.2133333333333333,42
pneumothorax,current_delta,0.3432469602725596,0.4807142857142857,42
pneumothorax,prior_current_delta,0.3393190391105816,0.445047619047619,42
pneumothorax,full,0.3477846692276629,0.449047619047619,42
atelectasis,current,0.1842553191489361,0.2747281426707264,84
atelectasis,prior_current,0.2477600238864037,0.347259678120922,84
atelectasis,delta,0.2371348551914519,0.3739234449760765,84
atelectasis,abs_delta,0.1961438681387639,0.2219225750326229,84
atelectasis,current_delta,0.275019295816213,0.4248803827751196,84
atelectasis,prior_current_delta,0.2795192824604589,0.4344497607655502,84
atelectasis,full,0.2677526920711999,0.4088951718138321,84
cardiomegaly,current,0.2110266159695817,0.2434210526315789,84
cardiomegaly,prior_current,0.2446600481347773,0.4385964912280702,84
cardiomegaly,delta,0.1705008387251377,0.4692982456140351,84
cardiomegaly,abs_delta,0.2182624113475177,0.5153508771929824,84
cardiomegaly,current_delta,0.2476679104477611,0.4210526315789473,84
cardiomegaly,prior_current_delta,0.2918585064570466,0.6008771929824562,84
cardiomegaly,full,0.305881394591072,0.6118421052631579,84
consolidation,current,0.2558229813664596,0.3147556390977444,84
consolidation,prior_current,0.2853703703703704,0.3583020050125313,84
consolidation,delta,0.2177871148459383,0.2794486215538846,84
consolidation,abs_delta,0.232082732082732,0.2819862155388471,84
consolidation,current_delta,0.3041501976284585,0.3866541353383458,84
consolidation,prior_current_delta,0.3211804052724769,0.4093671679197995,84
consolidation,full,0.3314119132501485,0.4131265664160401,84
edema,current,0.2115077904551588,0.2471846846846846,84
edema,prior_current,0.2284044715447154,0.330518018018018,84
edema,delta,0.2644545752347674,0.3203828828828828,84
edema,abs_delta,0.2507993605115907,0.2927927927927928,84
edema,current_delta,0.2190523619806488,0.2539414414414414,84
edema,prior_current_delta,0.2210443938531588,0.2556306306306306,84
edema,full,0.225078125,0.2606981981981981,84
pleural_effusion,current,0.2984619750562588,0.3668785310734463,84
pleural_effusion,prior_current,0.3770064529138939,0.4758709981167608,84
pleural_effusion,delta,0.1906753228708736,0.3236228813559322,84
pleural_effusion,abs_delta,0.231131236742373,0.2521186440677966,84
pleural_effusion,current_delta,0.3460790717929576,0.4417372881355932,84
pleural_effusion,prior_current_delta,0.3692061171118763,0.4641007532956685,84
pleural_effusion,full,0.340562491609612,0.4251412429378531,84
pneumonia,current,0.2418108207581891,0.4170022371364653,84
pneumonia,prior_current,0.2483852025836758,0.3794183445190156,84
pneumonia,delta,0.2356481481481481,0.4261744966442953,84
pneumonia,abs_delta,0.2658390410958904,0.3731543624161074,84
pneumonia,current_delta,0.2425074925074925,0.3351230425055928,84
pneumonia,prior_current_delta,0.2458311844593433,0.3418344519015659,84
pneumonia,full,0.231833910034602,0.2997762863534676,84
pneumothorax,current,0.2449707155589508,0.2953394123606889,84
pneumothorax,prior_current,0.2645161290322581,0.3130699088145896,84
pneumothorax,delta,0.1695212765957447,0.2625379939209726,84
pneumothorax,abs_delta,0.1681614349775785,0.1329787234042553,84
pneumothorax,current_delta,0.2703182452136427,0.3434650455927052,84
pneumothorax,prior_current_delta,0.2573127392017496,0.3042046605876393,84
pneumothorax,full,0.2564402810304449,0.2826747720364742,84
atelectasis,current,0.2925006228511634,0.3708607006020799,123
atelectasis,prior_current,0.2888915312116364,0.4118431855500821,123
atelectasis,delta,0.1643237082066869,0.2240010946907498,123
atelectasis,abs_delta,0.2195520126356019,0.2583128078817734,123
atelectasis,current_delta,0.2900518925518925,0.389675697865353,123
atelectasis,prior_current_delta,0.304567376099168,0.4353106185002736,123
atelectasis,full,0.2931379448331057,0.4232348111658456,123
cardiomegaly,current,0.2328310276679842,0.3995433789954338,123
cardiomegaly,prior_current,0.2525931617364579,0.3386605783866057,123
cardiomegaly,delta,0.1973309761986892,0.3888888888888889,123
cardiomegaly,abs_delta,0.2265537426827749,0.30441400304414,123
cardiomegaly,current_delta,0.2767934312878133,0.4893455098934551,123
cardiomegaly,prior_current_delta,0.2460038363171355,0.3340943683409437,123
cardiomegaly,full,0.3032738095238095,0.5167427701674278,123
consolidation,current,0.21460722323438,0.2065472695243687,123
consolidation,prior_current,0.2436569222283507,0.2699647680563711,123
consolidation,delta,0.2311688311688311,0.2759248385202583,123
consolidation,abs_delta,0.239338231238486,0.3510569583088667,123
consolidation,current_delta,0.2804964539007092,0.3275983558426306,123
consolidation,prior_current_delta,0.2552631578947368,0.2795067527891955,123
consolidation,full,0.2577953044754218,0.2871403405754551,123
edema,current,0.2509920634920635,0.3459770114942529,123
edema,prior_current,0.2995392168698941,0.4744252873563218,123
edema,delta,0.2379070881226053,0.4764367816091954,123
edema,abs_delta,0.2540428627385149,0.3528735632183908,123
edema,current_delta,0.3509424603174603,0.6410919540229886,123
edema,prior_current_delta,0.3359477124183006,0.6045977011494252,123
edema,full,0.295036394740373,0.4379310344827586,123
pleural_effusion,current,0.2691524156620877,0.3013521616597709,123
pleural_effusion,prior_current,0.3474757035961126,0.3935330095340888,123
pleural_effusion,delta,0.2006770072859574,0.2642021946393236,123
pleural_effusion,abs_delta,0.208821887213847,0.2126206751813875,123
pleural_effusion,current_delta,0.3437907431551499,0.3967710019787732,123
pleural_effusion,prior_current_delta,0.3594088473378178,0.4137704623133657,123
pleural_effusion,full,0.3350967772940404,0.3740645799604245,123
pneumonia,current,0.2757142857142857,0.6201814058956916,123
pneumonia,prior_current,0.2476362386109678,0.3645124716553288,123
pneumonia,delta,0.2301095619338089,0.4098639455782313,123
pneumonia,abs_delta,0.2554964539007092,0.4058956916099773,123
pneumonia,current_delta,0.2826271394845563,0.4688208616780045,123
pneumonia,prior_current_delta,0.3059837844010505,0.4801587301587302,123
pneumonia,full,0.2728365384615384,0.3894557823129251,123
pneumothorax,current,0.248522120518688,0.3117934224049332,123
pneumothorax,prior_current,0.2849420849420849,0.4028134635149023,123
pneumothorax,delta,0.1779081548103287,0.3076824254881808,123
pneumothorax,abs_delta,0.210199125789218,0.2562307297019527,123
pneumothorax,current_delta,0.2871201284484017,0.4367291880781089,123
pneumothorax,prior_current_delta,0.299270835006344,0.4100077081192189,123
pneumothorax,full,0.3045616186388718,0.4207990750256937,123
