finding,threshold,f1,precision,recall
atelectasis,0.11499999999999999,0.18253968253968253,0.10648148148148148,0.6388888888888888
cardiomegaly,0.8949999999999999,0.23529411764705882,0.2222222222222222,0.25
consolidation,0.08499999999999999,0.14583333333333334,0.08235294117647059,0.6363636363636364
edema,0.945,0.16806722689075632,0.10309278350515463,0.45454545454545453
pleural_effusion,0.20499999999999996,0.3523809523809524,0.2605633802816901,0.5441176470588235
pneumonia,0.95,0.09174311926605505,0.05263157894736842,0.35714285714285715
pneumothorax,0.4799999999999999,0.2603550295857988,0.176,0.5
