pair_id,benchmark_category,exact_match,num_correct_findings,finding_accuracy,json_repaired,elapsed_seconds,gpu_peak_gb
16732_40_41,multi_change,False,3,0.42857142857142855,False,37.911642600025516,2.498101234436035
22071_2_3,single_change,False,5,0.7142857142857143,False,28.64966729999287,2.4980826377868652
25285_0_1,multi_change,False,5,0.7142857142857143,False,26.684828100027516,2.4980826377868652
19773_6_7,single_change,False,5,0.7142857142857143,False,29.992793699959293,2.4980826377868652
10863_0_1,unchanged,False,5,0.7142857142857143,False,28.136238700011745,2.4980826377868652
21627_2_3,unchanged,False,6,0.8571428571428571,False,27.036771199957002,2.4980826377868652
18187_61_62,multi_change,False,3,0.42857142857142855,False,29.44280380004784,2.4980826377868652
3072_14_15,multi_change,False,4,0.5714285714285714,False,27.871134200016968,2.4980826377868652
6260_0_1,single_change,False,5,0.7142857142857143,False,26.414760300016496,2.4980826377868652
13615_57_58,unchanged,False,6,0.8571428571428571,False,26.881841199996416,2.4980826377868652
7624_11_12,unchanged,False,6,0.8571428571428571,False,27.368259400012903,2.4980826377868652
19804_1_2,single_change,True,7,1.0,False,27.43825140001718,2.4980826377868652
9397_9_10,unchanged,False,6,0.8571428571428571,False,27.761166600044817,2.4980826377868652
1029_1_2,single_change,False,5,0.7142857142857143,False,27.9488418000401,2.4980826377868652
17167_1_2,single_change,False,6,0.8571428571428571,False,27.279369099996984,2.4980826377868652
21091_1_2,multi_change,False,6,0.8571428571428571,False,27.607507599983364,2.4980826377868652
21779_1_2,unchanged,False,6,0.8571428571428571,False,25.835705600038636,2.4980826377868652
13670_91_92,unchanged,False,6,0.8571428571428571,False,25.773689900001045,2.4980826377868652
3527_1_2,multi_change,False,5,0.7142857142857143,False,27.665972499991767,2.4980826377868652
4582_8_9,unchanged,False,6,0.8571428571428571,False,27.738776200043503,2.4980826377868652
16490_16_17,multi_change,False,4,0.5714285714285714,False,27.245463399973232,2.4980826377868652
29672_11_12,multi_change,False,4,0.5714285714285714,False,29.413251500052866,2.4980826377868652
13988_2_3,single_change,False,5,0.7142857142857143,False,27.51634049997665,2.4980826377868652
15732_27_28,multi_change,False,5,0.7142857142857143,False,26.87949059996754,2.4980826377868652
22672_5_6,multi_change,False,2,0.2857142857142857,False,28.131335699988995,2.4980826377868652
13175_14_15,unchanged,False,6,0.8571428571428571,False,27.521163499972317,2.4980826377868652
10294_7_8,single_change,False,1,0.14285714285714285,False,28.967830099980347,2.4980826377868652
10350_23_24,single_change,False,4,0.5714285714285714,False,27.184354299970437,2.4980826377868652
22977_11_12,single_change,False,5,0.7142857142857143,False,26.155474600032903,2.4980826377868652
174_1_2,unchanged,False,6,0.8571428571428571,False,27.163352500007022,2.4980826377868652
