model,num_seeds,coverage_mean,coverage_std,abstention_rate_mean,abstention_rate_std,selective_accuracy_mean,selective_accuracy_std,selective_macro_f1_mean,selective_macro_f1_std,error_rate_on_covered_mean,error_rate_on_covered_std,review_rate_mean,review_rate_std,absent_recall_mean,absent_recall_std,new_recall_mean,new_recall_std,persistent_recall_mean,persistent_recall_std,resolved_recall_mean,resolved_recall_std
biomedclip,5,1.0,0.0,0.0,0.0,0.7572062211981567,0.022587701245188472,0.35394529436524536,0.03186232194360082,0.24279377880184333,0.022587701245188472,0.0,0.0,0.9019732917158871,0.024505645227204005,0.17153149138443258,0.08670463573147809,0.11707070707070706,0.047504826061493394,0.1981926406926407,0.08934036435843239
medchange,5,0.7093317972350229,0.03830450256640288,0.29066820276497696,0.03830450256640286,0.8650771502399408,0.012163860455020693,0.27548335302985344,0.043425613013184844,0.13492284976005905,0.012163860455020695,0.29066820276497696,0.03830450256640286,0.9884352866900075,0.010876171823967195,0.095,0.1036822067666386,0.0,0.0,0.025,0.05590169943749475
qwen,5,1.0,0.0,0.0,0.0,0.6943164362519202,0.04636371205157163,0.2693472186608292,0.023368878992232545,0.30568356374807987,0.04636371205157163,0.0,0.0,0.8337884772008636,0.04944571009106713,0.29462269756387405,0.12179133424016678,0.0,0.0,0.04575757575757576,0.054486500126649934
