finding,status,auroc,auprc,f1,precision,recall,threshold,n_total,n_evaluated,n_positive,n_negative,n_excluded
atelectasis,evaluated,0.5922690590659341,0.1403115979827892,0.2682926829268293,0.19642857142857142,0.4230769230769231,0.5,500,500,52,448,0
cardiomegaly,evaluated,0.7846735395189003,0.09293498219180973,0.12121212121212122,0.0784313725490196,0.26666666666666666,0.5,500,500,15,485,0
consolidation,evaluated,0.7740318118948825,0.08535819921466112,0.14814814814814814,0.08888888888888889,0.4444444444444444,0.5,500,500,18,482,0
edema,evaluated,0.8285910652920961,0.12665423977309942,0.15294117647058825,0.08387096774193549,0.8666666666666667,0.5,500,500,15,485,0
pleural_effusion,evaluated,0.7880674200344762,0.2669504492005866,0.3103448275862069,0.2571428571428571,0.391304347826087,0.5,500,500,46,454,0
pneumonia,evaluated,0.8090701219512195,0.060359774840499134,0.0784313725490196,0.041379310344827586,0.75,0.5,500,500,8,492,0
pneumothorax,evaluated,0.6922265498214866,0.13746147011027934,0.20833333333333334,0.14285714285714285,0.38461538461538464,0.5,500,500,26,474,0
