finding,feature_set,macro_f1,balanced_accuracy
atelectasis,current,0.1980155127431181,0.23334627329192548
atelectasis,prior_current,0.2180622651637144,0.29450051759834367
atelectasis,delta,0.12325710222250161,0.1329192546583851
atelectasis,abs_delta,0.21312780431321465,0.29452639751552795
atelectasis,current_delta,0.23458781362007167,0.3198110766045549
atelectasis,prior_current_delta,0.2335828087639682,0.3147386128364389
atelectasis,full,0.23937357962052747,0.30046583850931674
cardiomegaly,current,0.22665534804753817,0.32919621749408984
cardiomegaly,prior_current,0.3316457953554728,0.5505910165484633
cardiomegaly,delta,0.17850770237316363,0.298936170212766
cardiomegaly,abs_delta,0.2589142146705346,0.4053191489361702
cardiomegaly,current_delta,0.2496493688639551,0.42671394799054374
cardiomegaly,prior_current_delta,0.28537753746917094,0.48865248226950353
cardiomegaly,full,0.2892235399855415,0.4957446808510639
consolidation,current,0.2718315219689601,0.31826923076923075
consolidation,prior_current,0.24285714285714288,0.2625
consolidation,delta,0.18207852200548488,0.25224358974358974
consolidation,abs_delta,0.24038084907650126,0.26634615384615384
consolidation,current_delta,0.27760243632336656,0.38269230769230766
consolidation,prior_current_delta,0.2574783063707321,0.2891025641025641
consolidation,full,0.31054825932874713,0.3990384615384615
edema,current,0.2,0.16666666666666666
edema,prior_current,0.2695578231292517,0.4861111111111111
edema,delta,0.16194714131607335,0.1684027777777778
edema,abs_delta,0.2131782945736434,0.1909722222222222
edema,current_delta,0.22582076308784382,0.2361111111111111
edema,prior_current_delta,0.22731106612685562,0.23958333333333334
edema,full,0.25166666666666665,0.30729166666666663
pleural_effusion,current,0.31951077377906645,0.346281127129751
pleural_effusion,prior_current,0.34491238886314657,0.36455875928352993
pleural_effusion,delta,0.1561147186147186,0.2107525120139799
pleural_effusion,abs_delta,0.26060512827372795,0.2782656181738751
pleural_effusion,current_delta,0.29994484681984684,0.3069080384447357
pleural_effusion,prior_current_delta,0.3163194444444445,0.34169397116644823
pleural_effusion,full,0.3167292317476205,0.3258682830930537
pneumonia,current,0.2315711462450593,0.7450532724505328
pneumonia,prior_current,0.25853480156758846,0.7770167427701674
pneumonia,delta,0.211427193828351,0.5525114155251142
pneumonia,abs_delta,0.3052910052910053,0.7229832572298326
pneumonia,current_delta,0.2606299212598425,0.6887366818873669
pneumonia,prior_current_delta,0.2703440411490683,0.6933028919330289
pneumonia,full,0.2564690026954178,0.6004566210045662
pneumothorax,current,0.2263848025861756,0.29595864661654137
pneumothorax,prior_current,0.2809962717481359,0.40098684210526314
pneumothorax,delta,0.22423312028826092,0.34464285714285714
pneumothorax,abs_delta,0.1981937602627258,0.21470864661654138
pneumothorax,current_delta,0.23471295060080105,0.3241071428571428
pneumothorax,prior_current_delta,0.28591938537218975,0.4234962406015038
pneumothorax,full,0.29995795238916684,0.4328947368421052
