policy,threshold,coverage_mean,coverage_std,selective_accuracy_mean,selective_accuracy_std,selective_macro_f1_mean,selective_macro_f1_std,error_rate_mean,error_rate_std,review_rate_mean,new_recall_mean,persistent_recall_mean,resolved_recall_mean,absent_recall_mean
change_sensitive,0.55,0.8488882488479262,0.042602373865397024,0.7628874379640125,0.02100850689551592,0.37358704051646024,0.03428648736819329,0.23711256203598746,0.021008506895515932,0.2842434715821812,0.2281135531135531,0.14714285714285716,0.24326408885232417,0.8870253226170715
change_sensitive,0.6,0.8424635176651305,0.040595281734371165,0.7621653606268991,0.020241380472030317,0.37414840359144813,0.03424414465160939,0.23783463937310093,0.020241380472030324,0.29066820276497696,0.2281135531135531,0.1519047619047619,0.24326408885232417,0.8861367913438443
change_sensitive,0.65,0.8360695084485407,0.04261583412951099,0.7613793904897277,0.022186010889155276,0.37481878260767826,0.03526399418808777,0.23862060951027236,0.022186010889155276,0.2970622119815668,0.23452380952380952,0.1519047619047619,0.24326408885232417,0.8852333215568511
change_sensitive,0.7,0.8269105222734254,0.04841109712032972,0.7620807270169286,0.020024001073421997,0.37628470338874653,0.03457701307097564,0.2379192729830714,0.02002400107342198,0.30806451612903224,0.2361904761904762,0.15857142857142859,0.24493075551899085,0.8842348346496841
change_sensitive,0.75,0.8157258064516129,0.04925047834179543,0.76333733776176,0.02217955462695081,0.3782886118198165,0.03394502236794356,0.2366626622382399,0.022179554626950815,0.32017089093701995,0.24831168831168832,0.15857142857142859,0.24903331962155492,0.8827844503962023
change_sensitive,0.8,0.80644777265745,0.0569983561695812,0.7690062746242522,0.02248680764375812,0.38251752032438874,0.03196019755260288,0.23099372537574778,0.022486807643758124,0.33126344086021503,0.264978354978355,0.15857142857142859,0.2663170163170163,0.8822722943590812
confidence_margin,0.55,0.9656470814132104,0.017055880516471944,0.773552149758812,0.014401240196916285,0.36523977923484024,0.03263572560478847,0.2264478502411879,0.014401240196916298,0.2842434715821812,0.17305555555555557,0.12493506493506494,0.20430306535569692,0.9149770768368235
confidence_margin,0.6,0.9472350230414748,0.01642260800111101,0.7788955269551481,0.016754239181450737,0.3615091966183252,0.052939376101059914,0.22110447304485187,0.01675423918145073,0.29066820276497696,0.17305555555555557,0.10897546897546898,0.19521367521367522,0.9229380963715641
confidence_margin,0.65,0.9316205837173579,0.014905487429570468,0.7811735034785992,0.017843889813624298,0.359711354037074,0.05029229514876419,0.21882649652140085,0.017843889813624295,0.2970622119815668,0.18331196581196582,0.10897546897546898,0.1719607843137255,0.9267030968828166
confidence_margin,0.7,0.9113383256528419,0.014656352842061652,0.7874095947407901,0.015442669010537383,0.36052911205007543,0.050700771079086535,0.21259040525920989,0.01544266901053738,0.30806451612903224,0.17692307692307693,0.11175324675324676,0.16312330600256297,0.932891250207813
