seed,policy,threshold,coverage,abstention_rate,selective_accuracy,selective_macro_f1,error_rate_on_covered,review_rate,absent_recall,new_recall,persistent_recall,resolved_recall
11,strict,0.55,0.6682027649769585,0.3317972350230415,0.8620689655172413,0.2340823970037453,0.13793103448275867,0.3317972350230415,1.0,0.0,0.0,0.0
11,strict,0.6,0.663594470046083,0.33640552995391704,0.8611111111111112,0.2339622641509434,0.13888888888888884,0.33640552995391704,1.0,0.0,0.0,0.0
11,strict,0.65,0.6543778801843319,0.3456221198156682,0.8591549295774648,0.23371647509578544,0.14084507042253525,0.3456221198156682,1.0,0.0,0.0,0.0
11,strict,0.7,0.6359447004608295,0.3640552995391705,0.8623188405797102,0.234251968503937,0.1376811594202898,0.3640552995391705,1.0,0.0,0.0,0.0
11,strict,0.75,0.6175115207373272,0.3824884792626728,0.8731343283582089,0.23588709677419356,0.12686567164179108,0.3824884792626728,1.0,0.0,0.0,0.0
11,strict,0.8,0.5898617511520737,0.41013824884792627,0.90625,0.2396694214876033,0.09375,0.41013824884792627,1.0,0.0,0.0,0.0
11,confidence_margin,0.55,0.967741935483871,0.03225806451612903,0.7714285714285715,0.31449565695202175,0.22857142857142854,0.3317972350230415,0.9349112426035503,0.1,0.09090909090909091,0.1
11,confidence_margin,0.6,0.9539170506912442,0.04608294930875576,0.7729468599033816,0.28035330261136715,0.22705314009661837,0.33640552995391704,0.9401197604790419,0.1,0.0,0.1
11,confidence_margin,0.65,0.9400921658986175,0.059907834101382486,0.7696078431372549,0.27990479762797843,0.23039215686274506,0.3456221198156682,0.9390243902439024,0.1,0.0,0.1
11,confidence_margin,0.7,0.9170506912442397,0.08294930875576037,0.7738693467336684,0.2830357142857143,0.22613065326633164,0.3640552995391705,0.94375,0.1,0.0,0.10526315789473684
11,confidence_margin,0.75,0.8894009216589862,0.11059907834101383,0.7772020725388601,0.2698405253283302,0.2227979274611399,0.3824884792626728,0.9426751592356688,0.1,0.0,0.0625
11,confidence_margin,0.8,0.8433179723502304,0.15668202764976957,0.8087431693989071,0.28461927223719674,0.1912568306010929,0.41013824884792627,0.948051948051948,0.125,0.0,0.08333333333333333
11,change_sensitive,0.55,0.783410138248848,0.21658986175115208,0.7588235294117647,0.3224206349206349,0.24117647058823533,0.3317972350230415,0.9057971014492754,0.16666666666666666,0.1,0.125
11,change_sensitive,0.6,0.7788018433179723,0.22119815668202766,0.757396449704142,0.32222793194016214,0.242603550295858,0.33640552995391704,0.9051094890510949,0.16666666666666666,0.1,0.125
11,change_sensitive,0.65,0.7695852534562212,0.2304147465437788,0.7544910179640718,0.32183408643262656,0.2455089820359282,0.3456221198156682,0.9037037037037037,0.16666666666666666,0.1,0.125
11,change_sensitive,0.7,0.7511520737327189,0.2488479262672811,0.754601226993865,0.32337554247666606,0.245398773006135,0.3640552995391705,0.9015151515151515,0.16666666666666666,0.1,0.13333333333333333
11,change_sensitive,0.75,0.7327188940092166,0.2672811059907834,0.7610062893081762,0.32762999452654623,0.23899371069182385,0.3824884792626728,0.9,0.16666666666666666,0.1,0.15384615384615385
11,change_sensitive,0.8,0.7096774193548387,0.2903225806451613,0.7792207792207793,0.3378935269760077,0.22077922077922074,0.41013824884792627,0.8992248062015504,0.25,0.1,0.18181818181818182
11,low_confidence_only,0.55,0.967741935483871,0.03225806451612903,0.7714285714285715,0.31449565695202175,0.22857142857142854,0.3317972350230415,0.9349112426035503,0.1,0.09090909090909091,0.1
11,low_confidence_only,0.6,0.9539170506912442,0.04608294930875576,0.7729468599033816,0.28035330261136715,0.22705314009661837,0.33640552995391704,0.9401197604790419,0.1,0.0,0.1
11,low_confidence_only,0.65,0.9400921658986175,0.059907834101382486,0.7696078431372549,0.27990479762797843,0.23039215686274506,0.3456221198156682,0.9390243902439024,0.1,0.0,0.1
11,low_confidence_only,0.7,0.9170506912442397,0.08294930875576037,0.7738693467336684,0.2830357142857143,0.22613065326633164,0.3640552995391705,0.94375,0.1,0.0,0.10526315789473684
11,low_confidence_only,0.75,0.8894009216589862,0.11059907834101383,0.7772020725388601,0.2698405253283302,0.2227979274611399,0.3824884792626728,0.9426751592356688,0.1,0.0,0.0625
11,low_confidence_only,0.8,0.8433179723502304,0.15668202764976957,0.8087431693989071,0.28461927223719674,0.1912568306010929,0.41013824884792627,0.948051948051948,0.125,0.0,0.08333333333333333
21,strict,0.55,0.719047619047619,0.28095238095238095,0.8874172185430463,0.31989247311827956,0.11258278145695366,0.28095238095238095,1.0,0.25,0.0,0.0
21,strict,0.6,0.7142857142857143,0.2857142857142857,0.8866666666666667,0.31979542719614923,0.11333333333333329,0.2857142857142857,1.0,0.25,0.0,0.0
21,strict,0.65,0.7142857142857143,0.2857142857142857,0.8866666666666667,0.31979542719614923,0.11333333333333329,0.2857142857142857,1.0,0.25,0.0,0.0
21,strict,0.7,0.7142857142857143,0.2857142857142857,0.8866666666666667,0.31979542719614923,0.11333333333333329,0.2857142857142857,1.0,0.25,0.0,0.0
21,strict,0.75,0.6904761904761905,0.30952380952380953,0.8896551724137931,0.3278493894165536,0.1103448275862069,0.30952380952380953,1.0,0.2857142857142857,0.0,0.0
21,strict,0.8,0.680952380952381,0.319047619047619,0.8951048951048951,0.32864493996569466,0.1048951048951049,0.319047619047619,1.0,0.2857142857142857,0.0,0.0
21,confidence_margin,0.55,0.9476190476190476,0.05238095238095238,0.7638190954773869,0.35791666666666666,0.2361809045226131,0.28095238095238095,0.9012345679012346,0.13333333333333333,0.14285714285714285,0.2
21,confidence_margin,0.6,0.9285714285714286,0.07142857142857142,0.764102564102564,0.3427293323787013,0.23589743589743595,0.2857142857142857,0.9056603773584906,0.13333333333333333,0.14285714285714285,0.14285714285714285
